Curated	Known	Ascertainment	GeneID	HGNC	EntrezID	CytoBand	ExACpLI	LOEUFbin	Arisk	ForecASD	ASDdnSignif	ASDNDDdnSignif	SFARICategory	SFARIScore	DDDCategory	DDDAllelic	DDDMutCons	DDDOrgan	dnLoFCase	dnLoFMegaCase	dnDmisCase	dnLoFControl	dnDmisControl	pAllEnrichMeta	pMisCombMeta	pDenovoWESTMeta	Filter	Par	Trans	NonTrans	TransUnaff	NonTransUnaff	TDTStat	pTDT	AllCase	AllCaseRate	NRCase	NRCaseRate	NREuroCase	NREuroCaseRate	NRControl	NRControlRate	NREuroControl	NREuroControlRate	pPCC	FullCase	FullCaseInherit	FullCaseRate	UnrelCase	UnrelCaseInherit	UnrelCaseRate	gnomADexome	gnomADexomeRate	gnomADexomepCC	gnomADexomepTDTCC	gnomADexomepTDTCCdnWEST	gnomADexomepMegaCC	gnomADexomeNonNeuro	gnomADexomeNonNeuroRate	gnomADexomeNonNeuropCC	gnomADexomeNonNeuropTDTCC	gnomADexomeNonNeuropTDTCCdnWEST	gnomADexomeNonNeuropMegaCC	gnomADexomeNonNeuroEuro	gnomADexomeNonNeuroEuroRate	gnomADexomeNonNeuroEuropCC	gnomADexomeNonNeuroEuropTDTCC	gnomADexomeNonNeuroEuropTDTCCdnWEST	gnomADexomeNonNeuroEuropMegaCC	gnomADgenome	gnomADgenomeRate	gnomADgenomepCC	gnomADgenomepTDTCC	gnomADgenomepTDTCCdnWEST	gnomADgenomepMegaCC	gnomADgenomeNonNeuro	gnomADgenomeNonNeuroRate	gnomADgenomeNonNeuropCC	gnomADgenomeNonNeuropTDTCC	gnomADgenomeNonNeuropTDTCCdnWEST	gnomADgenomeNonNeuropMegaCC	gnomADgenomeNonNeuroEuro	gnomADgenomeNonNeuroEuroRate	gnomADgenomeNonNeuroEuropCC	gnomADgenomeNonNeuroEuropTDTCC	gnomADgenomeNonNeuroEuropTDTCCdnWEST	gnomADgenomeNonNeuroEuropMegaCC	TopMed	TopMedRate	TopMedpCC	TopMedpTDTCC	TopMedpTDTCCdnWEST	TopMedpMegaCC
x	x	TDT	ENSG00000165671	NSD1	64324	5q35.3-q35.2	0.999999999179163	0	0.557785273139471	0.472	.	.	Rare Single Gene Mutation, Syndromic	1	confirmed	monoallelic	loss of function|uncertain	Face,Skeleton,Brain/Cognition	1	0	3	0	2	0.03	0.02	0.02	RareLoFpExt0.9	2	1	1	0	2	0	0.75	3	0.17	2	0.13	1	0.09	1	0.07	1	0.09	0.5421045	4	1	0.11	3	1	0.09	9	0.07	0.35	0.61	0.14	0.45	7	0.07	0.34	0.60	0.13	0.43	3	0.07	0.58	0.80	0.19	.	5	0.07	0.34	0.60	0.14	0.43	5	0.07	0.39	0.65	0.15	0.50	2	0.06	0.59	0.80	0.19	.	5	0.04	0.16	0.38	0.08	0.19
x	x	TDT	ENSG00000165671	NSD1	64324	5q35.3-q35.2	0.999999999179163	0	0.557785273139471	0.472	.	.	Rare Single Gene Mutation, Syndromic	1	confirmed	monoallelic	loss of function|uncertain	Face,Skeleton,Brain/Cognition	1	0	3	0	2	0.03	0.02	0.02	URLoFpExt0.9	2	1	1	0	2	0	0.75	3	0.17	2	0.13	1	0.09	1	0.07	1	0.09	0.5421045	4	1	0.11	3	1	0.09	9	0.07	0.35	0.61	0.14	0.45	7	0.07	0.34	0.60	0.13	0.43	3	0.07	0.58	0.80	0.19	.	5	0.07	0.34	0.60	0.14	0.43	5	0.07	0.39	0.65	0.15	0.50	2	0.06	0.59	0.80	0.19	.	5	0.04	0.16	0.38	0.08	0.19
x	x	Denovo	ENSG00000116539	ASH1L	55870	1q22	0.999999999999834	0	0.826435906565209	1	x	x	Rare Single Gene Mutation, Syndromic	1	probable	monoallelic	all missense/in frame	Brain/Cognition	15	8	0	0	0	1.25E-12	0.81	1.25E-12	AllLoFpExt0.9	2	1	1	0	0	0	0.75	7	0.40	7	0.44	6	0.54	1	0.07	1	0.09	0.04929594	16	1	0.45	16	1	0.50	7	0.06	3.81E-04	2.62E-03	2.39E-13	5.10E-07	4	0.04	1.47E-04	1.12E-03	9.73E-14	1.73E-07	1	0.02	3.60E-04	2.49E-03	2.26E-13	.	6	0.08	2.75E-03	0.01	1.54E-12	3.34E-05	4	0.06	1.36E-03	8.03E-03	7.93E-13	1.39E-05	3	0.09	0.01	0.05	5.68E-12	.	2	0.02	4.29E-06	4.39E-05	3.44E-15	3.70E-10
x	x	Denovo	ENSG00000116539	ASH1L	55870	1q22	0.999999999999834	0	0.826435906565209	1	x	x	Rare Single Gene Mutation, Syndromic	1	probable	monoallelic	all missense/in frame	Brain/Cognition	15	8	0	0	0	1.25E-12	0.81	1.25E-12	RareLoFpExt0.9	2	1	1	0	0	0	0.75	7	0.40	7	0.44	6	0.54	1	0.07	1	0.09	0.04929594	16	1	0.45	16	1	0.50	7	0.06	3.81E-04	2.62E-03	2.39E-13	5.10E-07	4	0.04	1.47E-04	1.12E-03	9.73E-14	1.73E-07	1	0.02	3.60E-04	2.49E-03	2.26E-13	.	6	0.08	2.75E-03	0.01	1.54E-12	3.34E-05	4	0.06	1.36E-03	8.03E-03	7.93E-13	1.39E-05	3	0.09	0.01	0.05	5.68E-12	.	2	0.02	4.29E-06	4.39E-05	3.44E-15	3.70E-10
x	x	Denovo	ENSG00000116539	ASH1L	55870	1q22	0.999999999999834	0	0.826435906565209	1	x	x	Rare Single Gene Mutation, Syndromic	1	probable	monoallelic	all missense/in frame	Brain/Cognition	15	8	0	0	0	1.25E-12	0.81	1.25E-12	URLoFpExt0.9	2	1	1	0	0	0	0.75	7	0.40	7	0.44	6	0.54	1	0.07	1	0.09	0.04929594	16	1	0.45	16	1	0.50	7	0.06	3.81E-04	2.62E-03	2.39E-13	5.10E-07	4	0.04	1.47E-04	1.12E-03	9.73E-14	1.73E-07	1	0.02	3.60E-04	2.49E-03	2.26E-13	.	6	0.08	2.75E-03	0.01	1.54E-12	3.34E-05	4	0.06	1.36E-03	8.03E-03	7.93E-13	1.39E-05	3	0.09	0.01	0.05	5.68E-12	.	2	0.02	4.29E-06	4.39E-05	3.44E-15	3.70E-10
x	x	Denovo	ENSG00000080603	SRCAP	10847	16p11.2	0.999999997075562	0	0.321420503770649	0.764367816091954	x	x	Rare Single Gene Mutation	1	confirmed	monoallelic	dominant negative	Skeleton,Brain/Cognition	7	5	3	0	1	1.31E-07	1.08E-03	1.31E-07	AllLoFpExt0.9	4	1	3	1	1	-1	0.94	11	0.63	10	0.63	7	0.63	3	0.21	2	0.19	0.06931902	17	1	0.48	16	1	0.50	14	0.11	1.60E-04	1.47E-03	6.48E-09	8.05E-05	10	0.10	9.88E-05	9.55E-04	4.16E-09	4.94E-05	5	0.11	4.07E-03	0.03	1.26E-07	.	34	0.45	0.22	0.53	4.53E-06	0.41	29	0.43	0.19	0.49	4.12E-06	0.37	14	0.44	0.28	0.62	5.73E-06	.	32	0.24	0.01	0.06	3.20E-07	0.02
x	x	Denovo	ENSG00000080603	SRCAP	10847	16p11.2	0.999999997075562	0	0.321420503770649	0.764367816091954	x	x	Rare Single Gene Mutation	1	confirmed	monoallelic	dominant negative	Skeleton,Brain/Cognition	7	5	3	0	1	1.31E-07	1.08E-03	1.31E-07	RareLoFpExt0.9	4	1	3	1	1	-1	0.94	11	0.63	10	0.63	7	0.63	3	0.21	2	0.19	0.06931902	17	1	0.48	16	1	0.50	14	0.11	1.60E-04	1.47E-03	6.48E-09	8.05E-05	10	0.10	9.88E-05	9.55E-04	4.16E-09	4.94E-05	5	0.11	4.07E-03	0.03	1.26E-07	.	34	0.45	0.22	0.53	4.53E-06	0.41	29	0.43	0.19	0.49	4.12E-06	0.37	14	0.44	0.28	0.62	5.73E-06	.	32	0.24	0.01	0.06	3.20E-07	0.02
x	x	Denovo	ENSG00000080603	SRCAP	10847	16p11.2	0.999999997075562	0	0.321420503770649	0.764367816091954	x	x	Rare Single Gene Mutation	1	confirmed	monoallelic	dominant negative	Skeleton,Brain/Cognition	7	5	3	0	1	1.31E-07	1.08E-03	1.31E-07	URLoFpExt0.9	4	1	3	1	1	-1	0.94	11	0.63	10	0.63	7	0.63	3	0.21	2	0.19	0.06931902	17	1	0.48	16	1	0.50	14	0.11	1.60E-04	1.47E-03	6.48E-09	8.05E-05	10	0.10	9.88E-05	9.55E-04	4.16E-09	4.94E-05	5	0.11	4.07E-03	0.03	1.26E-07	.	22	0.29	0.04	0.15	9.49E-07	0.07	19	0.28	0.04	0.15	9.14E-07	0.07	14	0.44	0.28	0.62	5.73E-06	.	13	0.10	5.83E-05	5.92E-04	2.55E-09	2.11E-05
x	x	Denovo	ENSG00000164134	NAA15	80155	4q31.1	0.998576839501621	1	0.586541560977187	0.783068783068783	x	x	Rare Single Gene Mutation, Syndromic	1	probable	monoallelic	loss of function	Heart/Cardiovasculature/Lymphatic	5	3	2	1	0	1.02E-07	0.06	1.02E-07	AllLoFpExt0.9	1	0	1	0	0	-1	1.00	5	0.28	5	0.32	4	0.36	1	0.07	1	0.09	0.1379917	8	0	0.22	8	0	0.25	10	0.08	0.02	0.11	5.08E-07	0.02	7	0.07	0.02	0.08	3.72E-07	0.01	4	0.09	0.06	0.23	1.21E-06	.	6	0.08	0.02	0.09	3.91E-07	0.02	4	0.06	9.51E-03	0.05	2.30E-07	7.89E-03	1	0.03	0.01	0.06	2.73E-07	.	7	0.05	3.25E-03	0.02	8.65E-08	1.63E-03
x	x	Denovo	ENSG00000164134	NAA15	80155	4q31.1	0.998576839501621	1	0.586541560977187	0.783068783068783	x	x	Rare Single Gene Mutation, Syndromic	1	probable	monoallelic	loss of function	Heart/Cardiovasculature/Lymphatic	5	3	2	1	0	1.02E-07	0.06	1.02E-07	RareLoFpExt0.9	1	0	1	0	0	-1	1.00	5	0.28	5	0.32	4	0.36	1	0.07	1	0.09	0.1379917	8	0	0.22	8	0	0.25	10	0.08	0.02	0.11	5.08E-07	0.02	7	0.07	0.02	0.08	3.72E-07	0.01	4	0.09	0.06	0.23	1.21E-06	.	6	0.08	0.02	0.09	3.91E-07	0.02	4	0.06	9.51E-03	0.05	2.30E-07	7.89E-03	1	0.03	0.01	0.06	2.73E-07	.	7	0.05	3.25E-03	0.02	8.65E-08	1.63E-03
x	x	Denovo	ENSG00000164134	NAA15	80155	4q31.1	0.998576839501621	1	0.586541560977187	0.783068783068783	x	x	Rare Single Gene Mutation, Syndromic	1	probable	monoallelic	loss of function	Heart/Cardiovasculature/Lymphatic	5	3	2	1	0	1.02E-07	0.06	1.02E-07	URLoFpExt0.9	1	0	1	0	0	-1	1.00	5	0.28	5	0.32	4	0.36	1	0.07	1	0.09	0.1379917	8	0	0.22	8	0	0.25	10	0.08	0.02	0.11	5.08E-07	0.02	7	0.07	0.02	0.08	3.72E-07	0.01	4	0.09	0.06	0.23	1.21E-06	.	6	0.08	0.02	0.09	3.91E-07	0.02	4	0.06	9.51E-03	0.05	2.30E-07	7.89E-03	1	0.03	0.01	0.06	2.73E-07	.	7	0.05	3.25E-03	0.02	8.65E-08	1.63E-03
x	x	Denovo	ENSG00000157540	DYRK1A	1859	21q22.13	0.999584541726647	0	0.734816815832918	1	x	x	Rare Single Gene Mutation, Syndromic, Functional	1	confirmed	monoallelic	loss of function	Face,Brain/Cognition	10	7	0	0	0	1.27E-13	1.00	1.27E-13	AllLoFpExt0.9	1	0	1	0	1	-1	1.00	3	0.17	3	0.19	2	0.18	1	0.07	1	0.09	0.355787	10	0	0.28	10	0	0.31	5	0.04	0.05	0.21	3.85E-12	1.54E-04	5	0.05	0.08	0.29	5.69E-12	5.57E-04	3	0.07	0.27	0.62	1.73E-11	.	11	0.14	0.44	0.80	2.78E-11	0.06	10	0.15	0.46	0.82	2.89E-11	0.07	3	0.09	0.38	0.75	2.42E-11	.	12	0.09	0.21	0.54	1.38E-11	4.92E-03
x	x	Denovo	ENSG00000157540	DYRK1A	1859	21q22.13	0.999584541726647	0	0.734816815832918	1	x	x	Rare Single Gene Mutation, Syndromic, Functional	1	confirmed	monoallelic	loss of function	Face,Brain/Cognition	10	7	0	0	0	1.27E-13	1.00	1.27E-13	RareLoFpExt0.9	1	0	1	0	1	-1	1.00	3	0.17	3	0.19	2	0.18	1	0.07	1	0.09	0.355787	10	0	0.28	10	0	0.31	5	0.04	0.05	0.21	3.85E-12	1.54E-04	5	0.05	0.08	0.29	5.69E-12	5.57E-04	3	0.07	0.27	0.62	1.73E-11	.	11	0.14	0.44	0.80	2.78E-11	0.06	10	0.15	0.46	0.82	2.89E-11	0.07	3	0.09	0.38	0.75	2.42E-11	.	12	0.09	0.21	0.54	1.38E-11	4.92E-03
x	x	Denovo	ENSG00000157540	DYRK1A	1859	21q22.13	0.999584541726647	0	0.734816815832918	1	x	x	Rare Single Gene Mutation, Syndromic, Functional	1	confirmed	monoallelic	loss of function	Face,Brain/Cognition	10	7	0	0	0	1.27E-13	1.00	1.27E-13	URLoFpExt0.9	1	0	1	0	1	-1	1.00	3	0.17	3	0.19	2	0.18	1	0.07	1	0.09	0.355787	10	0	0.28	10	0	0.31	5	0.04	0.05	0.21	3.85E-12	1.54E-04	5	0.05	0.08	0.29	5.69E-12	5.57E-04	3	0.07	0.27	0.62	1.73E-11	.	11	0.14	0.44	0.80	2.78E-11	0.06	10	0.15	0.46	0.82	2.89E-11	0.07	3	0.09	0.38	0.75	2.42E-11	.	12	0.09	0.21	0.54	1.38E-11	4.92E-03
x	x	Denovo	ENSG00000166147	FBN1	2200	15q21.1	1	0	0.134177203742821	0.712	.	x	Rare Single Gene Mutation	2	confirmed|possible	monoallelic	dominant negative|all missense/in frame|loss of function	Skeleton,Eye,Heart/Cardiovasculature/Lymphatic	2	1	10	0	1	4.19E-04	1.83E-03	4.19E-04	AllLoFpExt0.5	1	0	1	0	0	-1	1.00	3	0.17	3	0.19	3	0.27	1	0.07	1	0.09	0.355787	4	0	0.11	4	0	0.12	16	0.13	0.36	0.73	7.28E-03	0.60	15	0.14	0.43	0.79	8.42E-03	0.69	1	0.02	0.03	0.12	8.53E-04	.	9	0.12	0.34	0.71	7.01E-03	0.57	8	0.12	0.35	0.72	7.14E-03	0.57	3	0.09	0.18	0.49	4.19E-03	.	14	0.11	0.27	0.62	5.79E-03	0.47
x	x	Denovo	ENSG00000166147	FBN1	2200	15q21.1	1	0	0.134177203742821	0.712	.	x	Rare Single Gene Mutation	2	confirmed|possible	monoallelic	dominant negative|all missense/in frame|loss of function	Skeleton,Eye,Heart/Cardiovasculature/Lymphatic	2	1	10	0	1	4.19E-04	1.83E-03	4.19E-04	RareLoFpExt0.5	1	0	1	0	0	-1	1.00	3	0.17	3	0.19	3	0.27	1	0.07	1	0.09	0.355787	4	0	0.11	4	0	0.12	16	0.13	0.36	0.73	7.28E-03	0.60	15	0.14	0.43	0.79	8.42E-03	0.69	1	0.02	0.03	0.12	8.53E-04	.	9	0.12	0.34	0.71	7.01E-03	0.57	8	0.12	0.35	0.72	7.14E-03	0.57	3	0.09	0.18	0.49	4.19E-03	.	14	0.11	0.27	0.62	5.79E-03	0.47
x	x	Denovo	ENSG00000166147	FBN1	2200	15q21.1	1	0	0.134177203742821	0.712	.	x	Rare Single Gene Mutation	2	confirmed|possible	monoallelic	dominant negative|all missense/in frame|loss of function	Skeleton,Eye,Heart/Cardiovasculature/Lymphatic	2	1	10	0	1	4.19E-04	1.83E-03	4.19E-04	URLoFpExt0.5	1	0	1	0	0	-1	1.00	3	0.17	3	0.19	3	0.27	1	0.07	1	0.09	0.355787	4	0	0.11	4	0	0.12	16	0.13	0.36	0.73	7.28E-03	0.60	15	0.14	0.43	0.79	8.42E-03	0.69	1	0.02	0.03	0.12	8.53E-04	.	9	0.12	0.34	0.71	7.01E-03	0.57	8	0.12	0.35	0.72	7.14E-03	0.57	3	0.09	0.18	0.49	4.19E-03	.	14	0.11	0.27	0.62	5.79E-03	0.47
x	x	Denovo	ENSG00000158445	KCNB1	3745	20q13.13	0.982587869780031	0	0.269281182900346	0.618	.	x	Rare Single Gene Mutation, Syndromic	1	confirmed	monoallelic	all missense/in frame	Brain/Cognition	2	2	5	0	0	2.09E-05	2.73E-05	2.09E-05	AllLoFpExt0.9	1	0	1	0	0	-1	1.00	4	0.23	4	0.25	2	0.18	1	0.07	0	0.00	0.2245948	6	0	0.17	6	0	0.19	0	0.00	1.78E-04	1.71E-03	7.76E-07	8.37E-05	0	0.00	3.45E-04	3.09E-03	1.41E-06	2.02E-04	0	0.00	0.04	0.17	9.74E-05	.	3	0.04	0.02	0.10	5.14E-05	0.02	3	0.04	0.03	0.13	6.96E-05	0.04	2	0.06	0.27	0.63	4.92E-04	.	1	0.01	5.96E-04	5.02E-03	2.30E-06	3.21E-04
x	x	Denovo	ENSG00000158445	KCNB1	3745	20q13.13	0.982587869780031	0	0.269281182900346	0.618	.	x	Rare Single Gene Mutation, Syndromic	1	confirmed	monoallelic	all missense/in frame	Brain/Cognition	2	2	5	0	0	2.09E-05	2.73E-05	2.09E-05	RareLoFpExt0.9	1	0	1	0	0	-1	1.00	4	0.23	4	0.25	2	0.18	1	0.07	0	0.00	0.2245948	6	0	0.17	6	0	0.19	0	0.00	1.78E-04	1.71E-03	7.76E-07	8.37E-05	0	0.00	3.45E-04	3.09E-03	1.41E-06	2.02E-04	0	0.00	0.04	0.17	9.74E-05	.	3	0.04	0.02	0.10	5.14E-05	0.02	3	0.04	0.03	0.13	6.96E-05	0.04	2	0.06	0.27	0.63	4.92E-04	.	1	0.01	5.96E-04	5.02E-03	2.30E-06	3.21E-04
x	x	Denovo	ENSG00000158445	KCNB1	3745	20q13.13	0.982587869780031	0	0.269281182900346	0.618	.	x	Rare Single Gene Mutation, Syndromic	1	confirmed	monoallelic	all missense/in frame	Brain/Cognition	2	2	5	0	0	2.09E-05	2.73E-05	2.09E-05	URLoFpExt0.9	0	0	0	0	0	-999	.	4	0.23	4	0.25	2	0.18	0	0.00	0	0.00	0.07777898	6	0	0.17	6	0	0.19	0	0.00	1.78E-04	.	7.59E-08	8.37E-05	0	0.00	3.45E-04	.	1.42E-07	2.02E-04	0	0.00	0.04	.	1.30E-05	.	2	0.03	9.86E-03	.	3.38E-06	0.01	2	0.03	0.01	.	4.76E-06	0.02	2	0.06	0.27	.	7.48E-05	.	1	0.01	5.96E-04	.	2.39E-07	3.21E-04
x	x	Denovo	ENSG00000167522	ANKRD11	29123	16q24.3	0.999999821632236	0	0.697624643999741	0.931428571428571	x	x	Rare Single Gene Mutation, Syndromic	1	confirmed	monoallelic	loss of function	Teeth & Dentitian,Skeleton,Brain/Cognition	10	8	0	0	0	7.98E-11	0.05	7.98E-11	AllLoFpExt0.9	1	0	1	0	1	-1	1.00	7	0.40	7	0.44	6	0.54	0	0.00	0	0.00	0.01145537	15	0	0.42	15	0	0.47	7	0.06	4.36E-04	3.81E-03	1.78E-11	2.27E-06	4	0.04	1.69E-04	1.64E-03	7.32E-12	7.62E-07	1	0.02	4.03E-04	3.55E-03	1.66E-11	.	5	0.07	1.28E-03	9.77E-03	4.87E-11	2.49E-05	4	0.06	1.17E-03	9.04E-03	4.47E-11	2.66E-05	2	0.06	4.13E-03	0.03	1.46E-10	.	7	0.05	2.18E-04	2.05E-03	9.29E-12	5.96E-07
x	x	Denovo	ENSG00000167522	ANKRD11	29123	16q24.3	0.999999821632236	0	0.697624643999741	0.931428571428571	x	x	Rare Single Gene Mutation, Syndromic	1	confirmed	monoallelic	loss of function	Teeth & Dentitian,Skeleton,Brain/Cognition	10	8	0	0	0	7.98E-11	0.05	7.98E-11	RareLoFpExt0.9	1	0	1	0	1	-1	1.00	7	0.40	7	0.44	6	0.54	0	0.00	0	0.00	0.01145537	15	0	0.42	15	0	0.47	7	0.06	4.36E-04	3.81E-03	1.78E-11	2.27E-06	4	0.04	1.69E-04	1.64E-03	7.32E-12	7.62E-07	1	0.02	4.03E-04	3.55E-03	1.66E-11	.	5	0.07	1.28E-03	9.77E-03	4.87E-11	2.49E-05	4	0.06	1.17E-03	9.04E-03	4.47E-11	2.66E-05	2	0.06	4.13E-03	0.03	1.46E-10	.	7	0.05	2.18E-04	2.05E-03	9.29E-12	5.96E-07
x	x	Denovo	ENSG00000167522	ANKRD11	29123	16q24.3	0.999999821632236	0	0.697624643999741	0.931428571428571	x	x	Rare Single Gene Mutation, Syndromic	1	confirmed	monoallelic	loss of function	Teeth & Dentitian,Skeleton,Brain/Cognition	10	8	0	0	0	7.98E-11	0.05	7.98E-11	URLoFpExt0.9	1	0	1	0	1	-1	1.00	7	0.40	7	0.44	6	0.54	0	0.00	0	0.00	0.01145537	15	0	0.42	15	0	0.47	7	0.06	4.36E-04	3.81E-03	1.78E-11	2.27E-06	4	0.04	1.69E-04	1.64E-03	7.32E-12	7.62E-07	1	0.02	4.03E-04	3.55E-03	1.66E-11	.	5	0.07	1.28E-03	9.77E-03	4.87E-11	2.49E-05	4	0.06	1.17E-03	9.04E-03	4.47E-11	2.66E-05	2	0.06	4.13E-03	0.03	1.46E-10	.	7	0.05	2.18E-04	2.05E-03	9.29E-12	5.96E-07
x	x	Denovo	ENSG00000095787	WAC	51322	10p12.1	0.999891942627968	0	0.803795230868057	0.872340425531915	x	x	Rare Single Gene Mutation, Syndromic	1	confirmed	monoallelic	loss of function	Brain/Cognition|	5	2	0	0	0	6.66E-07	1.00	6.66E-07	AllLoFpExt0.5	1	0	1	0	0	-1	1.00	4	0.23	3	0.19	4	0.36	1	0.07	1	0.09	0.355787	6	0	0.17	5	0	0.16	3	0.02	0.02	0.11	2.74E-06	0.01	3	0.03	0.04	0.15	4.09E-06	0.02	2	0.04	0.02	0.09	2.16E-06	.	3	0.04	0.07	0.25	7.16E-06	0.05	3	0.04	0.09	0.30	8.97E-06	0.08	1	0.03	0.02	0.09	2.11E-06	.	5	0.04	0.04	0.18	4.96E-06	0.03
x	x	Denovo	ENSG00000095787	WAC	51322	10p12.1	0.999891942627968	0	0.803795230868057	0.872340425531915	x	x	Rare Single Gene Mutation, Syndromic	1	confirmed	monoallelic	loss of function	Brain/Cognition|	5	2	0	0	0	6.66E-07	1.00	6.66E-07	RareLoFpExt0.5	1	0	1	0	0	-1	1.00	4	0.23	3	0.19	4	0.36	1	0.07	1	0.09	0.355787	6	0	0.17	5	0	0.16	3	0.02	0.02	0.11	2.74E-06	0.01	3	0.03	0.04	0.15	4.09E-06	0.02	2	0.04	0.02	0.09	2.16E-06	.	3	0.04	0.07	0.25	7.16E-06	0.05	3	0.04	0.09	0.30	8.97E-06	0.08	1	0.03	0.02	0.09	2.11E-06	.	5	0.04	0.04	0.18	4.96E-06	0.03
x	x	Denovo	ENSG00000095787	WAC	51322	10p12.1	0.999891942627968	0	0.803795230868057	0.872340425531915	x	x	Rare Single Gene Mutation, Syndromic	1	confirmed	monoallelic	loss of function	Brain/Cognition|	5	2	0	0	0	6.66E-07	1.00	6.66E-07	URLoFpExt0.5	1	0	1	0	0	-1	1.00	4	0.23	3	0.19	4	0.36	1	0.07	1	0.09	0.355787	6	0	0.17	5	0	0.16	3	0.02	0.02	0.11	2.74E-06	0.01	3	0.03	0.04	0.15	4.09E-06	0.02	2	0.04	0.02	0.09	2.16E-06	.	3	0.04	0.07	0.25	7.16E-06	0.05	3	0.04	0.09	0.30	8.97E-06	0.08	1	0.03	0.02	0.09	2.11E-06	.	5	0.04	0.04	0.18	4.96E-06	0.03
x	x	Denovo	ENSG00000157933	SKI	6497	1p36.33	0.981402099833324	0	0.266595268148902	0.906	.	x	.	.	confirmed	monoallelic	all missense/in frame	Skeleton,Brain/Cognition,Heart/Cardiovasculature/Lymphatic	4	2	2	0	0	1.03E-05	0.20	1.03E-05	AllLoFpExt0.9	1	0	1	0	0	-1	1.00	4	0.23	4	0.25	4	0.36	0	0.00	0	0.00	0.07777898	6	0	0.17	6	0	0.19	9	0.07	0.10	0.34	1.18E-04	0.16	9	0.09	0.16	0.46	1.73E-04	0.25	2	0.04	0.04	0.16	4.70E-05	.	10	0.13	0.21	0.54	2.16E-04	0.33	9	0.13	0.22	0.56	2.27E-04	0.35	5	0.16	0.18	0.49	1.88E-04	.	6	0.05	0.02	0.08	2.33E-05	0.02
x	x	Denovo	ENSG00000157933	SKI	6497	1p36.33	0.981402099833324	0	0.266595268148902	0.906	.	x	.	.	confirmed	monoallelic	all missense/in frame	Skeleton,Brain/Cognition,Heart/Cardiovasculature/Lymphatic	4	2	2	0	0	1.03E-05	0.20	1.03E-05	RareLoFpExt0.9	1	0	1	0	0	-1	1.00	4	0.23	4	0.25	4	0.36	0	0.00	0	0.00	0.07777898	6	0	0.17	6	0	0.19	3	0.02	0.01	0.06	1.57E-05	0.01	3	0.03	0.02	0.09	2.59E-05	0.02	2	0.04	0.04	0.16	4.70E-05	.	10	0.13	0.21	0.54	2.16E-04	0.33	9	0.13	0.22	0.56	2.27E-04	0.35	5	0.16	0.18	0.49	1.88E-04	.	6	0.05	0.02	0.08	2.33E-05	0.02
x	x	Denovo	ENSG00000157933	SKI	6497	1p36.33	0.981402099833324	0	0.266595268148902	0.906	.	x	.	.	confirmed	monoallelic	all missense/in frame	Skeleton,Brain/Cognition,Heart/Cardiovasculature/Lymphatic	4	2	2	0	0	1.03E-05	0.20	1.03E-05	URLoFpExt0.9	1	0	1	0	0	-1	1.00	4	0.23	4	0.25	4	0.36	0	0.00	0	0.00	0.07777898	6	0	0.17	6	0	0.19	3	0.02	0.01	0.06	1.57E-05	0.01	3	0.03	0.02	0.09	2.59E-05	0.02	2	0.04	0.04	0.16	4.70E-05	.	10	0.13	0.21	0.54	2.16E-04	0.33	9	0.13	0.22	0.56	2.27E-04	0.35	5	0.16	0.18	0.49	1.88E-04	.	6	0.05	0.02	0.08	2.33E-05	0.02
x	x	Denovo	ENSG00000036257	CUL3	8452	2q36.2	0.974063405438851	0	0.625008329987065	0.977272727272727	x	x	Rare Single Gene Mutation, Genetic Association	1	probable	monoallelic	loss of function		8	7	3	0	0	6.54E-13	0.08	6.54E-13	AllLoFpExt0.9	1	0	1	0	0	-1	1.00	5	0.28	4	0.25	4	0.36	1	0.07	1	0.09	0.2245948	12	0	0.34	11	0	0.34	8	0.06	0.04	0.17	1.42E-11	4.83E-04	7	0.07	0.05	0.21	1.75E-11	9.65E-04	2	0.04	0.02	0.09	6.56E-12	.	3	0.04	0.02	0.09	6.48E-12	1.77E-04	3	0.04	0.03	0.12	9.01E-12	4.08E-04	1	0.03	0.02	0.08	5.73E-12	.	8	0.06	0.03	0.13	9.98E-12	1.87E-04
x	x	Denovo	ENSG00000036257	CUL3	8452	2q36.2	0.974063405438851	0	0.625008329987065	0.977272727272727	x	x	Rare Single Gene Mutation, Genetic Association	1	probable	monoallelic	loss of function		8	7	3	0	0	6.54E-13	0.08	6.54E-13	RareLoFpExt0.9	1	0	1	0	0	-1	1.00	5	0.28	4	0.25	4	0.36	1	0.07	1	0.09	0.2245948	12	0	0.34	11	0	0.34	8	0.06	0.04	0.17	1.42E-11	4.83E-04	7	0.07	0.05	0.21	1.75E-11	9.65E-04	2	0.04	0.02	0.09	6.56E-12	.	3	0.04	0.02	0.09	6.48E-12	1.77E-04	3	0.04	0.03	0.12	9.01E-12	4.08E-04	1	0.03	0.02	0.08	5.73E-12	.	8	0.06	0.03	0.13	9.98E-12	1.87E-04
